no,단어,뜻,등급,변형1,변형2
365,broadcast,방송하다,중고,,
371,budget,예산,중고,,
375,bull,황소,중고,,
376,bullet,탄환,중고,,
377,bully,약한 자를 못살게 구는 자,중고,,
378,bump,충돌 부딪치다,중고,,
379,bunch,송이,중고,,
380,bundle,다발,중고,,
381,burden,후렴,중고,,
383,burst,파열하다,중고,,
384,bury,묻다,중고,,
385,bush,덤불,중고,,
389,butcher,정육점주인,중고,,
392,buzz,윙윙거리는 소리,중고,,
394,cab,택시,중고,,
395,cabin,선실,중고,,
396,cable,해저전신,중고,,
398,calculate,계산하다,중고,,
403,cancel,취소하다,중고,,
404,cancer,암,중고,,
405,candidate,지원자,중고,,
407,canvas,돛베,중고,,
409,capable,할 수 있는,중고,,
410,cape,곶,중고,,
411,capital,수위의,중고,,
414,capture,붙잡다(=catch),중고,,
417,career,경력,중고,,
421,carve,조각하다,중고,,
424,cast,던지다,중고,,
426,casual,우연한,중고,,
429,category,범주,중고,,
432,cattle,소,중고,,
433,causal,원인의,중고,,
434,cause,원인,중고,,
435,caution,조심,중고,,
436,cave,동굴 굴을 파다 꺼지다,중고,,
437,cease,그만두다 그치다 중지,중고,,
438,ceiling,천장,중고,,
439,celebrate,경축하다,중고,,
440,celebrity,명성,중고,,
441,cell,작은 방,중고,,
442,censor,검열관,중고,,
443,century,1세기,중고,,
445,certificate,증명서,중고,,
448,chairman,의장,중고,,
449,challenge,도전,중고,,
453,chaos,혼돈,중고,,
454,character,인격,중고,,
455,characteristic,특유한,중고,,
456,charge,요금,중고,,
457,charity,자비,중고,,
458,charm,매력,중고,,
459,chase,쫓다,중고,,
460,chat,잡담,중고,,
463,cheek,볼,중고,,
464,cheer,갈채,중고,,
465,chef,쿡,중고,,
466,chemical,화학의,중고,,
467,chemistry,화학,중고,,
468,chest,가슴팍,중고,,
469,chew,씹다,중고,,
470,chief,우두머리,중고,,
472,chill,차가움,중고,,
473,chin,턱(끝) 턱에 대다,중고,,
474,chip,(나무)토막,중고,,
475,choir,(교회의)성가대,중고,,
477,chop,(도끼 등으로)자르다,중고,,
478,chorus,합창,중고,,
481,cigarette,궐련,중고,,
484,circulate,순환하다,중고,,
485,circumstance,환경,중고,,
486,cite,인용하다(quote),중고,,
487,citizen,시민,중고,,
489,civil,시민의,중고,,
490,claim,요구하다,중고,,
491,clap,짝짝,중고,,
492,clarify,맑게 하다,중고,,
493,clash,충돌하다,중고,,
495,classic,고전의,중고,,
496,classify,분류하다,중고,,
498,clause,조항,중고,,
499,clay,찰흙,중고,,
504,client,소송의뢰인,중고,,
505,cliff,절벽,중고,,
506,climate,기후,중고,,
508,cling,밀착하다,중고,,
509,clinic,병원,중고,,
516,clue,단서,중고,,
517,cluster,떼,중고,,
518,coach,역마차,중고,,
519,coal,석탄,중고,,
520,coast,연안,중고,,
521,code,법전,중고,,
523,coincide,일치하다,중고,,
525,collaborate,공동으로 일하다,중고,,
526,collapse,붕괴,중고,,
527,collar,칼라,중고,,
528,colleague,동료,중고,,
531,colony,식민지,중고,,
533,column,(신문 등의)난,중고,,
534,combat,격투하다,중고,,
535,combine,결합하다,중고,,
538,comfort,위안,중고,,
539,command,명령하다,중고,,
541,comment,논평,중고,,
542,commerce,상업,중고,,
543,commission,위임,중고,,
544,commit,위탁하다,중고,,
545,committee,위원회,중고,,
547,communicate,알리다,중고,,
548,communist,공산주의자,중고,,
549,community,공동생활체,중고,,
550,companion,동료,중고,,
552,compare,비교하다,중고,,
556,compete,경쟁하다,중고,,
557,competent,능력있는,중고,,
559,complain,불평하다,중고,,
560,complement,보완하는 것,중고,,
561,complete,완성하다,중고,,
562,complex,합성물,중고,,
563,complicate,복잡하게 하다,중고,,
565,compose,구성하다,중고,,
567,comprehensive,이해력있는,중고,,
571,conceal,숨기다,중고,,
573,concentrate,집중하다,중고,,
574,concept,개념,중고,,
575,concern,관계하다,중고,,
577,conclude,결정하다,중고,,
578,concrete,구체적인 응고물,중고,,
581,conduct,행위 이끌다,중고,,
583,confess,실토하다,중고,,
584,confident,확신하는,중고,,
585,confine,국경,중고,,
586,confirm,확인하다,중고,,
587,conflict,투쟁,중고,,
588,conform,일치시키다,중고,,
589,confront,직면하다,중고,,
590,confuse,혼란시키다,중고,,
592,congress,회의,중고,,
593,connect,잇다 이어지다,중고,,
594,conscience,양심,중고,,
595,conscious,의식적인,중고,,
599,consider,숙고하다,중고,,
600,consist,-으로 이루어지다,중고,,
601,consistent,시종일관한,중고,,
602,constant,불변의,중고,,
605,construct,건조하다,중고,,
606,consult,상의하다,중고,,
607,consume,소비하다,중고,,
608,contact,접촉,중고,,
609,contain,내포하다,중고,,
612,content,만족하여,중고,,
614,context,문맥,중고,,
615,continent,자제심이 있는,중고,,
616,continue,계속하다,중고,,
617,contract,계약,중고,,
619,contrary,반대의 반대 거꾸로,중고,,
620,contrast,대조,중고,,
621,contribute,기부하다,중고,,
623,controversy,논쟁,중고,,
624,convenient,편리한,중고,,
626,conversation,회화,중고,,
628,convey,나르다,중고,,
629,convict,유죄로 판결하다 죄수,중고,,
630,convince,확신시키다,중고,,
634,cooperate,협동하다,중고,,
636,cop,순경,중고,,
637,cope,코우프(성직자의 긴 겉옷),중고,,
639,copyright,판권,중고,,
640,cord,밧줄,중고,,
641,core,핵심,중고,,
642,corn,티눈,중고,,
644,corporate,법인조직의,중고,,
645,correct,옳은,중고,,
646,correspond,일치하다,중고,,
648,corrupt,타락한,중고,,
650,costume,복장,중고,,
651,cottage,시골집,중고,,
653,couch,침대,중고,,
654,cough,기침 기침을 하다 기침을 하여 -을 뱉어내다,중고,,
656,council,회의,중고,,
657,counsel,의논,중고,,
658,count,계산,중고,,
659,counter,계산하는 사람,중고,,
665,courage,용기,중고,,
669,cowboy,목동,중고,,
670,crack,찰싹 소리내다 금가다 날카로운소리,중고,,
671,craft,솜씨,중고,,
672,crash,도산,중고,,
673,crawl,네발로 기다,중고,,
675,create,창조하다,중고,,
676,creature,창조물,중고,,
677,credible,믿을 수 있는,중고,,
678,credit,신용,중고,,
681,crew,승무원,중고,,
682,cricket,크리켓,중고,,
683,crime,범죄,중고,,
684,criminal,죄의,중고,,
685,crisis,위기,중고,,
686,crisp,파삭파삭한,중고,,
688,critic,비평가,중고,,
689,criticize,비평하다,중고,criticise,
690,criticism,비평,중고,,
691,crop,수확,중고,,
695,crucial,결정적인,중고,,
696,cruel,잔인한,중고,,
697,cruise,순항하다,중고,,
698,crush,눌러 부수다,중고,,
700,crystal,수정,중고,,
701,cultivate,경작하다,중고,,
703,cupboard,찬장,중고,,
704,cure,치료,중고,,
706,curl,곱슬머리 머리털을 지지다,중고,,
708,current,유행의,중고,,
710,curry,카레요리 카레로 맛을 내다,중고,,
713,curve,곡선,중고,,
715,custom,습관,중고,,
722,dairy,낙농장,중고,,
723,dam,댐,중고,,
724,damage,손해,중고,,
725,damp,축축한 습기 적시다,중고,,
728,dare,au감히 -하다,중고,,
730,darling,귀여운,중고,,
731,dash,돌진,중고,,
732,database,데이터베이스,중고,,
735,dawn,새벽 날이 새다,중고,,
738,deal,양,중고,,
740,debate,토론 토론하다,중고,,
741,debt,빚,중고,,
742,decade,10년간,중고,,
743,decay,쇠퇴하다,중고,,
746,decision,결정,중고,,
747,deck,갑판,중고,,
748,declare,선언하다,중고,,
749,decline,기울다,중고,,
750,decorate,장식하다,중고,,
751,decrease,감소하다,중고,,
754,defeat,패배,중고,,
755,defense,방어,중고,defence,
756,defend,방어하다,중고,,
757,defendant,피고 피고의,중고,,
760,define,정의하다,중고,,
761,definite,일정한,중고,,
763,degree,도,중고,,
764,delay,늦추다,중고,,
766,delete,삭제하다,중고,,
768,delicate,미묘한,중고,,
770,delight,즐겁게하다 즐거워하다,중고,,
771,deliver,인도하다,중고,,
772,demand,요구하다,중고,,
773,democracy,민주주의,중고,,
774,democrat,민주주의자,중고,,
775,demon,악마,중고,,
776,demonstrate,증명하다,중고,,
777,dense,짙은,중고,,
779,deny,부정하다,중고,,
780,department,부,중고,,
781,departure,출발,중고,,
782,depend,좌우되다,중고,,
783,dependence,종속,중고,,
786,depress,억압하다,중고,,
788,derive,이끌어 내다,중고,,
789,descend,내려오다,중고,,
790,describe,기술하다,중고,,
791,description,서술,중고,,
792,desert,버리다,중고,,
793,deserve, -할 만하다,중고,,
796,desire,바라다,중고,,
798,despair,절망하다,중고,,
799,desperate,절망적인,중고,,
800,despite,-에도 불구하고 모욕,중고,,
801,destination,목적지,중고,,
802,destiny,운명,중고,,
803,destroy,파괴하다,중고,,
804,destruction,파괴,중고,,
805,detach,분리하다,중고,,
806,detail,상설,중고,,
807,detect,간파하다,중고,,
808,determine,결정하다,중고,,
809,develop,발달하다,중고,,
810,device,고안,중고,,
811,devil,악마,중고,,
812,devise,고안하다,중고,,
813,devote,바치다,중고,,
818,dictionary,사전,중고,,
822,dig,파다,중고,,
825,diminish,감소하다,중고,,
828,dip,담그다,중고,,
829,diplomat,외교관,중고,,
830,direct,지도하다,중고,,
832,disabled,불구가 된,중고,,
833,disadvantage,불리,중고,,
834,disagree,일치하지 않다,중고,,
835,disappear,안보이게 되다,중고,,
836,disappoint,실망시키다,중고,,
837,disaster,천재,중고,,
839,discipline,훈련,중고,,
840,disclose,나타내다,중고,,
841,discount,할인,중고,,
843,discover,발견하다,중고,,
846,disease,병,중고,,
847,disgust,불쾌하게 하다,중고,,
849,dismiss,떠나게 하다,중고,,
850,disorder,난잡,중고,,
852,display,보이다,중고,,
853,dispose,배열하다,중고,,
856,distant,떨어진,중고,,
858,distract,전환시키다,중고,,
859,distribute,분배하다,중고,,
860,district,지구,중고,,
861,disturb,교란하다,중고,,
862,dive,뛰어들다,중고,,
863,diverse,다양한,중고,,
866,divorce,이혼,중고,,
869,document,서류,중고,,
873,domain,영토,중고,,
874,domestic,가정의,중고,,
876,donate,증여하다,중고,,
879,dot,점,중고,,
881,doubt,의심,중고,,
883,dozen,1다스,중고,,
885,drag,끌다,중고,,
888,drawer,제도사,중고,,
894,drown,물에빠뜨리다,중고,,
895,drug,약제,중고,,
899,due,지급기일이 된,중고,,
900,dull,둔한,중고,,
901,dump,내버리다,중고,,
903,dust,먼지,중고,,
904,duty,의무,중고,,
905,dwell,거주하다,중고,,
906,dynamic,동적인,중고,,
907,each,각각의,중고,,
908,eager,열심인,중고,,
911,earn,일하여 벌다,중고,,
913,ease,안락,중고,,
917,economy,절약,중고,,
918,edge,끝머리,중고,,
919,edit,편집하다,중고,,
920,educate,교육하다,중고,,
921,effect,결과,중고,,
922,effective,효과적인,중고,,
923,efficient,능률적인,중고,,
924,effort,노력,중고,,
926,either,어느 하나의,중고,,
928,elect,선거하다,중고,,
929,electric,전기의,중고,,
930,electronic,전자(학)의,중고,,
931,elegant,우아한,중고,,
932,element,요소,중고,,
935,eliminate,제거하다,중고,,
936,else,그 밖에,중고,,
937,embarrass,난처하게 하다,중고,,
938,embassy,대사관,중고,,
940,emerge,나오다,중고,,
941,emergency,비상사태,중고,,
943,emotion,감정,중고,,
944,emphasis,강조,중고,,
945,empire,제국,중고,,
946,employ,고용하다,중고,,
947,empty,빈,중고,,
948,enclose,에워싸다,중고,,
949,encounter,조우,중고,,
950,encourage,용기를 돋우다,중고,,
952,endure,견디다,중고,,
953,enemy,적,중고,,
955,engage,약속하다,중고,,
958,enhance,향상하다,중고,,
960,enormous,거대한,중고,,
963,ensure,-을 책임지다,중고,,
965,enterprise,기획,중고,,
966,entertain,즐겁게 하다,중고,,
967,enthusiastic,열심인,중고,,
968,entire,전체의,중고,,
970,entry,들어감,중고,,
971,envelope,봉투,중고,,
972,environment,환경,중고,,
973,envy,질투,중고,,
974,episode,삽화,중고,,
975,equal,같은,중고,,
977,equipment,장비,중고,,
978,era,시대,중고,,
982,escape,도망하다,중고,,
983,escort,호위하다,중고,,
984,especially,특히,중고,,
985,essential,본질적인,중고,,
986,establish,확립하다,중고,,
988,estimate,어림잡다,중고,,
989,etc,등등,중고,et cetera,
993,evaluate,평가하다,중고,,
994,eve,"저녁, 밤",중고,,
995,even,-조차,중고,,
997,eventually,결국,중고,,
998,ever,이전에,중고,,
1000,evident,명백한,중고,,
1001,evil,사악한,중고,,
1002,evolution,진화,중고,,
1003,evolve,진화하다,중고,,
1004,exact,정확한,중고,,
1005,exaggerate,과장하다,중고,,
1007,examine,시험하다,중고,,
1009,exceed,넘다,중고,,
1010,excellent,우수한,중고,,
1011,except,-을 제외하고는 제외하다,중고,,
1012,excess,초과,중고,,
1013,exchange,교환하다,중고,,
1014,excite,흥분시키다,중고,,
1015,exclude,배척하다,중고,,
1017,excuse,변명,중고,,
1020,exhaust,다 써버리다,중고,,
1021,exhibit,보이다,중고,,
1022,exist,존재하다,중고,,
1024,exotic,외국의,중고,,
1025,expand,펴다,중고,,
1026,expect,기대하다,중고,,
1027,expense,지출,중고,,
1028,expensive,비용이 드는,중고,,
1029,experience,경험,중고,,
1030,experiment,실험,중고,,
1031,expert,숙련가,중고,,
1033,explain,설명하다,중고,,
1035,explode,폭발시키다,중고,,
1036,explore,탐험하다,중고,,
1037,export,수출하다 수출,중고,,
1038,expose,"쐬다, 드러내다, 맞히다",중고,,
1039,express,발표하다,중고,,
1040,extend,뻗다,중고,,
1041,extent,넓이,중고,,
1042,external,외부의,중고,,
1043,extinct,꺼진,중고,,
1044,extra,가외의,중고,,
1047,extreme,극단의,중고,,
1049,eyebrow,눈썹,중고,,
1050,fabric,천,중고,,
1053,facility,쉬움,중고,,
1055,factor,요소,중고,,
1058,fade,바래다,중고,,
1060,faint,기절하다,중고,,
1061,fair,공평한,중고,,
1062,faith,신용,중고,,
1064,false,거짓,중고,,
1065,fame,명성,중고,,
1066,familiar,친한,중고,,
1070,fancy,공상,중고,,
1073,fare,요금,중고,,
1075,fascinate,황홀케 하다,중고,,
1077,fasten,단단히 고정시키다,중고,,
1080,fate,숙명,중고,,
1082,fault,결점,중고,,
1083,favor,호의,중고,favour,
1085,fear,두려움,중고,,
1086,feature,얼굴의 생김새,중고,,
1088,fee,요금,중고,,
1089,feed,음식(먹이)을 주다,중고,,
1091,fellow,동무,중고,,
1092,female,여성,중고,,
1093,ferry,나루터,중고,,
1096,few,소수의,중고,,
1097,fiber,섬유,중고,fibre,
1099,fierce,흉포한,중고,,
1101,figure,모습,중고,,
1104,filter,여과기 여과하다,중고,,
1105,final,최후의,중고,,
1106,finance,재정,중고,,
1111,finite,한정되어 있는,중고,,
1113,firm,굳은,중고,,
1115,fist,주먹,중고,,
1116,fit,맞는,중고,,
1119,flame,불꽃,중고,,
1120,flash,번쩍임,중고,,
1121,flat,편평한,중고,,
1122,flavor,(독특한)맛,중고,flavour,
1123,flaw,금,중고,,
1125,flesh,살,중고,,
1126,flexible,구부리기 쉬운,중고,,
1127,flight,날기,중고,,
1129,float,뜨다,중고,,
1130,flock,무리,중고,,
1131,flood,홍수,중고,,
1133,flourish,번창하다,중고,,
1134,flow,흐르다,중고,,
1141,fold,주름,중고,,
1142,folk,사람들,중고,,
1143,follow,쫓다,중고,,
1150,forbid,금하다,중고,,
1151,force,힘,중고,,
1152,forecast,예상,중고,,
1153,forehead,이마,중고,,
1154,foreign,외국의,중고,,
1158,forgive,용서하다,중고,,
1160,formal,형식상의,중고,,
1161,format,(서적의)체제,중고,,
1162,formation,형성,중고,,
1163,former,이전의,중고,,
1165,forth,앞으로,중고,,
1166,fortunate,운좋은,중고,,
1167,fortune,운,중고,,
1168,forum,공개토론회,중고,,
1169,forward,앞쪽에,중고,,
1171,foundation,기초,중고,,
1172,fountain,샘,중고,,
1175,frame,구조,중고,,
1176,framework,뼈대,중고,,
1177,frankly,솔직히,중고,,
1179,freeze,얼다,중고,,
1180,frequent,빈번한,중고,,
1183,fright,(갑자기 엄습하는)공포,중고,,
1188,frown,눈살을 찌푸리다,중고,,
1190,frustrate,(계획 등을)좌절시키다,중고,,
1192,fuel,연료,중고,,
1193,fulfil,이행하다,중고,,
1196,function,기능,중고,,
1197,fund,기금,중고,,
1198,fundamental,기초(기준)의,중고,,
1199,funeral,장사,중고,,
1200,fur,모피,중고,,
1203,furniture,가구,중고,,
1204,furthermore,더우기,중고,,
1207,gain,얻다,중고,,
1208,gamble,도박하다 도박 도박해서 잃다,중고,,
1209,gang,한 떼,중고,,
1210,gap,갈라진 틈,중고,,
1211,garage,차고,중고,,
1215,gather,그러모으다,중고,,
1217,gear,톱니바퀴,중고,,
1218,gender,성,중고,,
1219,gene,유전(인)자,중고,,
1220,general,일반적인,중고,,
1222,generation,일대,중고,,
1223,generous,광대한,중고,,
1224,genius,천재,중고,,
1225,genre,유형,중고,,
1226,gentle,온화한,중고,,
1228,genuine,진짜의,중고,,
1229,geography,지리,중고,,
1230,geology,지질학,중고,,
1240,glance,흘긋 봄,중고,,
1244,global,공모양의,중고,,
1245,glory,영광,중고,,
1247,glow,타다,중고,,
1251,goat,염소,중고,,
1256,goods,상품,중고,,
1257,gorgeous,호화로운,중고,,
1258,govern,다스리다,중고,,
1259,grab,붙잡다(=snatch),중고,,
1260,grace,은총,중고,,
1261,grade,등급,중고,,
1262,gradual,점차적인,중고,,
1263,graduate,학위를 수여하다,중고,,
1264,grain,곡물,중고,,
1265,grand,위대한,중고,,
1267,grant,받아들이다,중고,,
1269,graphic,그려 놓은 듯한,중고,,
1272,grateful,고맙게 생각하는,중고,,
1273,grave,무덤,중고,,
1275,greed,탐욕,중고,,
1277,greet,인사하다,중고,,
1279,grief,심한 슬픔(deep sorrow),중고,,
1280,grip,잡기,중고,,
1281,grocery,식품잡화류,중고,,
1286,guarantee,보증하다,중고,,
1289,guest,손님,중고,,
1291,guideline,지침,중고,,
1292,guilty,죄지은,중고,,
1294,gun,총,중고,,
1296,gymnasium,실내체조장,중고,gym,
1300,half,반,중고,,
1301,hall,회관,중고,,
1303,hammer,망치,중고,,
1305,handicap,불리한 조건,중고,,
1306,handle,손잡이,중고,,
1309,happen,(사건 등이)일어나다,중고,,
1311,harbor,항구,중고,harbour,
1313,hardly,거의 -아니다,중고,,
1314,harm,해,중고,,
1315,harsh,거친,중고,,
1316,harvest,수확,중고,,
1317,haste,급함,중고,,
1322,hazard,위험,중고,,
1327,heal,고치다,중고,,
1328,health,건강,중고,,
1329,hear,듣다,중고,,
1334,heel,발뒤꿈치,중고,,
1335,height,높이,중고,,
1338,hell,지옥,중고,,
1345,hesitate,주저하다,중고,,
1346,hide,감추다,중고,,
1348,highway,대도,중고,,
1350,hip,엉덩이,중고,,
1351,hire,고용하다,중고,,
1356,hole,구멍,중고,,
1358,holy,신성한,중고,,
1363,honor,명예,중고,honour,
1366,horizon,지평선,중고,,
1368,horror,공포,중고,,
1371,host,"주인, 집주인 노릇, 호스트",중고,,
1377,household,가족,중고,,
1380,hug,꼭 껴안다,중고,,
1381,huge,거대한,중고,,
1388,hurt,상처내다,중고,,
1390,hut,오두막,중고,,
1395,ideal,이상,중고,,
1396,identical,아주 동일한,중고,,
1397,identify,동일시하다,중고,,
1400,ignore,무시하다,중고,,
1401,ill,병든,중고,,
1403,illustrate,설명하다,중고,,
1404,imagine,상상하다,중고,,
1405,imitate,흉내내다,중고,,
1406,immediate,직접의,중고,,
1409,immune,면역성의,중고,,
1410,impact,충격,중고,,
1411,imperial,제국의,중고,,
1414,import,수입하다,중고,,
1417,impress,인상지우다,중고,,
1418,improve,개선하다,중고,,
1420,incentive,자극적인,중고,,
1421,incident,사건,중고,,
1423,include,포함하다,중고,,
1424,income,수입,중고,,
1426,increase,늘다,중고,,
1427,incredible,믿을 수 없는,중고,,
1428,indeed,참으로,중고,,
1429,independent,독립한,중고,,
1431,indicate,지적하다,중고,,
1432,individual,개인,중고,,
1434,industry,공업,중고,,
1436,infant,유아,중고,,
1440,influence,영향력,중고,,
1441,inform,알리다,중고,,
1442,informal,비공식의,중고,,
1443,ingredient,성분,중고,,
1444,inhabit,살다,중고,,
1447,initial,처음의,중고,,
1448,initiate,시작하다,중고,,
1449,inject,주사하다,중고,,
1450,injure,해치다,중고,,
1451,inn,여인숙,중고,,
1452,innocent,무구한,중고,,
1453,innovate,새롭게 하다,중고,,
1454,input,투입,중고,,
1456,insect,곤충,중고,,
1457,insert,끼워넣다,중고,,
1459,insight,통찰(력),중고,,
1460,insist,주장하다,중고,,
1461,inspect,검사하다,중고,,
1462,inspire,영감을 주다,중고,,
1463,install,설치하다,중고,,
1464,instance,실례,중고,,
1465,instant,즉시의,중고,,
1466,instead,그 대신에,중고,,
1467,instinct,본능,중고,,
1468,institute,만들다,중고,,
1469,instruct,가르치다,중고,,
1470,instrument,기구,중고,,
1471,insult,모욕하다,중고,,
1472,insure,보증하다,중고,,
1474,intellectual,지적인,중고,,
1475,intelligent,지적인,중고,,
1476,intend,-할 작정이다,중고,,
1477,intense,강렬한,중고,,
1478,intent,의향,중고,,
1479,interact,서로 작용하다,중고,,
1480,interest,흥미,중고,,
1481,interfere,간섭하다,중고,,
1482,intermediate,중간의 중간물,중고,,
1483,internal,내부의,중고,,
1484,international,국제적인,중고,,
1485,interpret,해석하다,중고,,
1486,interrupt,훼방놓다,중고,,
1487,interval,간격,중고,,
