no,단어,뜻,등급,변형1,변형2
991,ethnic,인종의,전문,,
992,evacuate,비우다,전문,,
1016,exclusive,배타적인,전문,,
1018,executive,집행의,전문,,
1032,expertise,대가의 의견,전문,,
1034,explicit,명백한,전문,,
1045,extract,뽑아내다,전문,,
1046,extraordinary,이상한,전문,,
1052,facilitate,쉽게하다,전문,,
1057,faculty,능력,전문,,
1079,fatal,치명적인,전문,,
1087,federal,연방의,전문,,
1094,fertile,비옥한,전문,,
1124,flee,달아나다,전문,,
1128,flip,튀기다 홱 움직이다 튀기기,전문,,
1136,fluid,유동성의,전문,,
1137,flush,왈칵흐르다,전문,,
1144,fond,좋아하는,전문,,
1164,formula,공식,전문,,
1170,foster,기르다,전문,,
1174,fraction,분수,전문,,
1187,frost,서리,전문,,
1201,furious,노하여 펄펄뛰는,전문,,
1202,furnish,공급하다,전문,,
1205,fuse,신관,전문,,
1213,gasoline,가솔린,전문,petrol,
1216,gaze,지켜보다,전문,,
1221,generate,낳다,전문,,
1241,glare,번쩍이는 빛,전문,,
1243,glimpse,흘끗 봄,전문,,
1270,grasp,붙잡다,전문,,
1282,gross,총계의,전문,,
1287,guardian,보호자,전문,,
1293,gulf,만,전문,,
1298,habitat,(동물의)자연번식지,전문,,
1302,halt,멈춰서다,전문,,
1320,haunt,자주가다,전문,,
1326,headquarters,본부,전문,,
1336,heir,상속인,전문,,
1341,hence,그러므로,전문,,
1343,heritage,세습 재산,전문,,
1364,hook,갈고리,전문,,
1367,horn,뿔,전문,,
1372,hostage,볼모,전문,,
1373,hostile,반대하는,전문,,
1391,hypothesis,가설,전문,,
1398,ideology,공리,전문,,
1402,illusion,환영,전문,,
1407,immense,무한한,전문,,
1408,immigrate,이주하다,전문,,
1412,implement,기구,전문,,
1413,imply,함축하다,전문,,
1416,impose,부과하다,전문,,
1422,incline,기울이다,전문,,
1425,incorporate,합동시키다,전문,,
1430,index,색인,전문,,
1433,induce,꾀다,전문,,
1435,inevitable,피할 수 없는,전문,,
1437,infect,감염시키다,전문,,
1438,infer,추론하다,전문,,
1439,inflate,부풀게 하다,전문,,
1445,inherent,생태의,전문,,
1446,inhibit,금하다,전문,,
1455,inquire,묻다,전문,enquire,
1473,integrate,통합하다,전문,,
1488,intervene,사이에 들다,전문,,
1491,intrigue,음모,전문,,
1520,judicial,사법의,전문,,
1526,keen,날카로운,전문,,
1540,knot,매듭(=tie),전문,,
1575,lease,임대차,전문,,
1583,legislate,법률을 제정하다,전문,,
1584,legitimate,합법의,전문,,
1611,literal,문자의,전문,,
1623,lone,혼자의,전문,,
1636,lump,덩어리,전문,,
1643,magnificent,장대한,전문,,
1653,manifest,명백히 하다,전문,,
1654,manipulate,(손으로)다루다,전문,,
1679,meanwhile,그동안,전문,,
1687,medieval,중세(풍)의,전문,,
1695,mere,단순한,전문,,
1696,merge,합병하다,전문,,
1701,metropolitan,수도권(의),전문,,
1706,migrate,이주하다,전문,,
1728,mock,조롱하다,전문,,
1730,moderate,절제하는,전문,,
1732,modest,겸손한,전문,,
1733,modify,변경하다,전문,,
1735,molecule,분자,전문,,
1742,monument,기념비,전문,,
1748,mortal,죽을운명의,전문,,
1768,mutual,상호의,전문,,
1771,naive,소박한,전문,,
1774,nanny,유모,전문,,
1777,nasty,불쾌한,전문,,
1812,nominate,추천하다,전문,,
1814,nonetheless,역시,전문,,
1818,norm,표준,전문,,
1826,notion,"n,관념",전문,,
1833,numerous,"다 수의, 수많은, 셀 수 없이 많은",전문,,
1834,nun,수녀 집비둘기의 일종,전문,,
1841,oblige,(의무를)별수없이 -하게하다,전문,,
1843,obsess,늘러붙다,전문,,
1876,orbit,궤도,전문,,
1888,ounce,삵괭이,전문,,
1893,outrage,불법(적인 행위),전문,,
1903,overwhelm,압도하다,전문,,
1917,panel,판벽널,전문,,
1922,parallel,평행의,전문,,
1926,parliament,의회,전문,,
1929,particle,입자,전문,,
1937,pat,톡톡 가볍게 치다,전문,,
1938,patch,깁는 헝겊,전문,,
1939,patent,전매특허권 전매특허의,전문,,
1942,patrol,순회,전문,,
1945,pave,(도로를)포장하다,전문,,
1950,peasant,농부,전문,,
1965,persist,고집하다,전문,,
1968,perspective,원근법의 원근 화법,전문,,
1971,phase,국면,전문,,
1986,pinch,꼬집다,전문,,
1990,pitch,던지다,전문,,
2016,polish,"닦다, 갈다, 윤내다",전문,,
2025,pope,로마 교황  최고 권위자로 자처하는 사람,전문,,
2030,portion,"일부, 부분",전문,,
2049,preach,설교하다,전문,,
2050,precede,-에 앞서다,전문,,
2053,predator,약탈자,전문,,
2057,prejudice,"편견, 선입관",전문,,
2058,premier,"국무 총리, 수상",전문,,
2059,premium,"할증금,  액면 초과액, 프리미엄",전문,,
2067,presume,가정하다,전문,,
2070,prevail,"이기다, 극복하다, 압도하다 우세하다, 보급되다",전문,,
2084,prior,"이전의, 앞의",전문,,
2088,privilege,"특권, 특전, 특별 취급",전문,,
2092,procedure,"진행, 경과 절차",전문,,
2098,profile,"옆 얼굴, 반면상 인물 소개  태도, 자세",전문,,
2100,profound,"깊은, 심원한",전문,,
2102,prohibit,"금하다, 금지하다",전문,,
2103,prominent,"두드러진, 돌기한, 양각된 현저한, 탁월한, 중요한",전문,,
2106,prompt,"재빠른, 신속한, 즉시 …하는",전문,,
2111,proportion,"비율, 비 균형, 조화",전문,,
2114,prosper,번영하다,전문,,
2122,provoke,화나게 하다,전문,,
2147,questionnaire,질문표,전문,,
2152,quote,인용하다,전문,,
2156,rage,격노,전문,,
2161,rally,규합하다,전문,,
2170,rational,합리적인,전문,,
2178,rear,뒤,전문,,
2180,rebel,반역자,전문,,
2191,recruit,신병,전문,,
2196,refine,정제정련하다,전문,,
2206,regulate,규정하다,전문,,
2207,reinforce,보강하다,전문,,
2213,relevant,관련된,전문,,
2216,reluctant,마음이 내키지 않는,전문,,
2233,reputation,평판,전문,,
2240,reside,거주하다,전문,,
2241,resign,사임하다,전문,,
2247,respective,각각의,전문,,
2253,restrain,제지하다,전문,,
2254,restrict,제한하다,전문,,
2257,resume,다시 잡다,전문,,
2258,retail,소매,전문,,
2259,retain,보유하다,전문,,
2261,retreat,후퇴,전문,,
2264,revenge,복수,전문,,
2265,reverse,역,전문,,
2274,rid,면하게하다,전문,,
2276,ridiculous,어리석은,전문,,
2279,riot,"폭동, 소요, 소동   야단법석, 다채로움,",전문,,
2285,roar,으르렁거리다 으르렁소리,전문,,
2289,rod,막대,전문,,
2297,rot,썩다,전문,,
2313,sack,마대,전문,,
2321,salon,객실,전문,,
2332,scarce,부족한,전문,,
2334,scatter,뿔뿔이 흩어 버리다,전문,,
2342,scope,범위,전문,,
2348,screw,나사,전문,,
2349,scrub,(관목의)숲,전문,,
2350,sculpture,조각 조각하다,전문,sculpt,
2364,seize,붙잡다,전문,,
2374,sentiment,정서,전문,,
2376,sequence,연속,전문,,
2401,shelter,피난처,전문,,
2402,shield,방패,전문,,
2417,shrink,줄어들다,전문,,
2432,simulate,흉내내다,전문,,
2433,simultaneous,동시에 일어나는(존재하는),전문,,
2449,slaughter,도살,전문,,
2454,slight,약간의,전문,,
2457,slope,비탈,전문,,
2468,sneak,몰래 움직이다,전문,,
2469,sniff,코를 킁킁거리다,전문,,
2483,sole,유일한 발바닥,전문,,
2492,sophisticated,물정에 닳고 닳은,전문,,
2502,span,한 뼘,전문,,
2509,spectacle,광경,전문,,
2510,spectrum,스펙트럼,전문,,
2515,sphere,구,전문,,
2516,spill,엎지르다,전문,,
2519,spit,침을 뱉다,전문,,
2520,spite,악의,전문,,
2521,splash,튀기다,전문,,
2522,split,쪼개다,전문,,
2526,spouse,배우자,전문,,
2531,stack,낟가리,전문,,
2540,starve,굶어 죽다,전문,,
2543,statistic,통계의 통계량,전문,,
2551,steep,가파른 -에 담그다 잠기다 담그기,전문,,
2555,stiff,굳은,전문,,
2557,stimulate,자극하다,전문,,
2558,stir,휘젓다,전문,,
2559,stitch,한 바늘,전문,,
2569,strain,잡아당기다,전문,,
2581,strip,벗기다,전문,,
2583,stroke,한번치기,전문,,
2591,subjective,주관의,전문,,
2593,submit,복종시키다,전문,,
2594,subscribe,서명승락하다,전문,,
2595,substance,물질,전문,,
2596,substantial,실체의,전문,,
2597,substitute,대용하다 대신하다 대리(인),전문,,
2598,subtle,미묘한,전문,,
2603,suck,빨다,전문,,
2611,suite,수행원,전문,,
2619,supervise,감독하다,전문,,
2621,supplement,부록,전문,,
2629,surrender,넘겨주다,전문,,
2634,suspend,매달다,전문,,
2635,sustain,떠받치다,전문,,
2637,swear,맹세하다,전문,,
2639,sweep,청소하다,전문,,
2641,swell,부풀다,전문,,
2642,swift,빠른,전문,,
2670,tease,괴롭히다,전문,,
2673,telegraph,전신,전문,,
2678,temporary,일시적인,전문,,
2679,tempt,유혹하다,전문,,
2680,tenant,차지인,전문,,
2686,terminate,끝내다,전문,,
2687,terrace,계단모양의 뜰(광장),전문,,
2692,testify,증명하다,전문,,
2703,therapy,치료법,전문,,
2717,thread,실,전문,,
2725,tick,시계소리,전문,,
2732,timber,재목,전문,,
2754,torture,고문,전문,,
2770,trail,질질 끌다,전문,,
2772,transact,처리하다,전문,,
2775,transition,변천,전문,,
2777,transmit,보내다,전문,,
2784,treaty,조약,전문,,
2786,tremendous,무서운,전문,,
2792,trigger,방아쇠 재빠른,전문,,
2793,trim,산뜻한 정돈하다,전문,,
2809,turnover,전복,전문,,
2821,undergo,(영향 등을)받다,전문,,
2822,underlie,-의 밑에 있다,전문,,
2823,undermine,-밑을 파다,전문,,
2825,undertake,떠맡다,전문,,
2847,utilize,-을 이용하다,전문,utilise,
2848,utter,전적인,전문,,
2851,vague,막연한,전문,,
2852,valid,유효한,전문,,
2856,vanish,자취를 감추다,전문,,
2863,verbal,"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된",전문,,
2864,verse,"시의 한 줄, 시구  일련의 시구",전문,,
2867,vertical,"수평면에 직각인, 수직의",전문,,
2869,vessel,그릇,전문,,
2870,veteran,"노련가, 경험 많은 대가, 베테랑",전문,,
2871,veterinarian,수의사,전문,,
2873,vice,"악덕,  비행, 타락 행위",전문,,
2877,vigorous,"정력적인, 강건한, 활기 있는, 격렬한",전문,,
2880,virgin,"처녀, 동정녀, 미혼 여성, 동정녀 마리아",전문,,
2881,virtual,"사실상의, 실질상의, 실제의  허상의",전문,,
2882,virtue,"덕, 덕행, 선, 선행",전문,,
2886,vital,"생명의, 생명에 관한, 생명유지에 필요한, 살아 있는",전문,,
2887,vivid,"발랄한, 약동적인, 힘찬, 생기있는",전문,,
2889,vocation,"천직, 사명 직업, 생업, 장사  적성, 소질, 재능",전문,,
2896,wagon,짐마차,전문,,
2901,wander,헤매다,전문,,
2904,warehouse,창고,전문,,
2907,warrant,보증하다 보증,전문,,
2908,warrior,병사,전문,,
2922,weave,짜다,전문,,
2924,weed,잡초 잡초를 뽑다,전문,,
2941,whereas,cnj.(-인)까닭에,전문,,
2945,whip,채찍 채찍질하다,전문,,
2952,wicked,사악한,전문,,
2955,widow,미망인,전문,,
2969,withdraw,물러나다,전문,,
2986,wreck,난파,전문,,
2995,yield,산출하다,전문,,
