no,단어,뜻,등급,변형1,변형2
400,call,부르다,초등,,
401,calm,평온한,초등,,
402,can,au-할 수 있다,초등,,
406,candy,사탕과자,초등,,
408,cap,모자,초등,,
412,captain,우두머리(chief),초등,,
415,car,자동차,초등,,
416,care,걱정,초등,,
418,carrot,당근,초등,,
419,carry,나르다,초등,,
420,cart,(2륜)짐마차,초등,,
422,case,경우,초등,,
423,cash,현금 현금으로 바꾸다 현금의,초등,,
425,castle,성,초등,,
427,cat,고양이,초등,,
428,catch,붙잡다,초등,,
444,certain,확신하는,초등,,
446,chain,사슬,초등,,
447,chair,의장,초등,,
451,chance,우연,초등,,
452,change,변화,초등,,
461,cheap,값싼,초등,,
462,check,방해,초등,cheque,
471,child,아이,초등,,
476,choose,고르다,초등,,
480,church,교회,초등,,
482,cinema,영화관,초등,,
483,circle,원,초등,,
488,city,도시,초등,,
494,class,계급,초등,,
497,classroom,교실,초등,,
500,clean,청결한,초등,,
501,clear,맑은,초등,,
502,clerk,서기,초등,,
503,clever,영리한,초등,,
507,climb,기어 오르다,초등,,
510,clip,가위로 자르다,초등,,
511,clock,시계,초등,,
512,close,닫다,초등,,
513,cloth,천,초등,,
514,cloud,구름,초등,,
515,club,클럽,초등,,
522,coin,화폐,초등,,
524,cold,추운,초등,,
529,collect,모으다,초등,,
530,college,단과대학,초등,,
532,color,착색하다,초등,colour,
536,come,오다,초등,,
537,comedy,희극,초등,,
551,company,교제,초등,,
576,concert,연주회,초등,,
580,condition,조건,초등,,
591,congratulate,축하하다,초등,,
613,contest,겨루다,초등,,
622,control,억제하다,초등,,
631,cook,요리하다 요리사,초등,,
632,cookie,쿠키,초등,cooky,
633,cool,서늘한,초등,,
638,copy,사본,초등,,
643,corner,모퉁이,초등,,
649,cost,가격,초등,,
652,cotton,목화,초등,,
655,could,aucan의 과거,초등,,
661,country,나라,초등,,
662,countryside,시골,초등,,
664,couple,한 쌍,초등,,
666,cousin,사촌,초등,,
667,cover,덮다,초등,,
668,cow,위협하다 암소,초등,,
674,crazy,미친,초등,,
692,cross,십자형,초등,,
693,crowd,군중,초등,,
694,crown,왕관,초등,,
699,cry,소리치다,초등,,
702,culture,문화,초등,,
705,curious,이상스러운,초등,,
712,curtain,커어튼,초등,,
716,customer,고객,초등,,
717,cut,베다,초등,,
718,cute,귀여운,초등,,
719,cycle,순환,초등,,
721,dad,아빠,초등,,
726,dance,댄스,초등,,
727,danger,위험,초등,,
729,dark,어두운,초등,,
733,date,날짜,초등,,
734,daughter,딸,초등,,
736,day,낮,초등,,
737,dead,죽은,초등,,
739,death,죽음,초등,,
745,decide,결정하다,초등,,
753,deep,깊은,초등,,
769,delicious,맛있는,초등,,
778,dentist,치과의사,초등,,
794,design,디자인,초등,,
797,desk,책상,초등,,
815,dialogue,대화,초등,dialog,
816,diary,일기,초등,,
819,die,죽다,초등,,
820,different,다른,초등,,
821,difficult,곤란한,초등,,
827,dinner,정찬,초등,,
831,dirty,더러운,초등,,
845,discuss,토론하다,초등,,
848,dish,접시,초등,,
864,divide,나누다,초등,,
867,do,하다,초등,,
868,doctor,박사,초등,,
870,dog,개,초등,,
871,doll,인형,초등,,
872,dolphin,돌고래,초등,,
877,door,문,초등,,
880,double,2배의,초등,,
882,down,아래로,초등,,
887,draw,당기다,초등,,
890,dream,꿈,초등,,
891,drink,마시다,초등,,
892,drive,운전하다,초등,,
893,drop,방울,초등,,
896,dry,마른,초등,,
898,duck,머리를 물 속에 쑥 쳐박다,초등,,
902,during,-동안에,초등,,
909,ear,귀,초등,,
910,early,이른,초등,,
912,earth,지구,초등,,
914,east,동쪽 동쪽의 동쪽으로,초등,,
915,easy,쉬운,초등,,
916,eat,먹다,초등,,
925,egg,알,초등,,
933,elementary,기본의,초등,,
934,elephant,코끼리,초등,,
951,end,끝,초등,,
956,engine,엔진,초등,,
957,engineer,기사,초등,,
959,enjoy,즐기다,초등,,
961,enough,충분한,초등,,
964,enter,들어가다,초등,,
979,eraser,지우는 사람,초등,,
981,error,잘못,초등,,
996,evening,저녁,초등,,
999,every,모든,초등,,
1006,exam,시험,초등,examination,
1008,example,보기,초등,,
1019,exercise,운동,초등,,
1023,exit,출구,초등,,
1048,eye,눈,초등,,
1051,face,얼굴,초등,,
1054,fact,사실,초등,,
1056,factory,공장,초등,,
1059,fail,실패하다,초등,,
1063,fall,떨어지다,초등,,
1067,family,가족,초등,,
1068,famous,유명한,초등,,
1069,fan,(영화 등의)팬,초등,,
1071,fantastic,환상적인,초등,,
1072,far,멀리,초등,,
1074,farm,농장,초등,,
1076,fast,빠른,초등,,
1078,fat,살찐,초등,,
1081,father,아버지,초등,,
1084,favorite,마음에 드는 좋아하는 물건,초등,favourite,
1090,feel,만져보다,초등,,
1095,fever,열,초등,,
1098,field,들,초등,,
1100,fight,싸움,초등,,
1102,file,종이끼우개,초등,,
1103,fill,가득 채우다,초등,,
1107,find,발견하다,초등,,
1108,fine,훌륭한,초등,,
1109,finger,손가락 손가락을 대다,초등,,
1110,finish,끝내다,초등,,
1112,fire,불,초등,,
1114,fish,물고기,초등,,
1117,fix,고정시키다,초등,,
1118,flag,기,초등,,
1132,floor,마룻바닥,초등,,
1135,flower,꽃,초등,,
1138,fly,날다,초등,,
1139,focus,초점,초등,,
1140,fog,안개,초등,,
1145,food,음식,초등,,
1146,fool,바보,초등,,
1147,foot,발,초등,,
1148,football,축구,초등,,
1149,for,대신에,초등,,
1155,forest,숲,초등,,
1156,forever,영원히,초등,,
1157,forget,잊다,초등,,
1159,form,모양,초등,,
1173,fox,교활한 사람,초등,,
1178,free,자유로운,초등,,
1181,fresh,새로운,초등,,
1182,friend,친구,초등,,
1184,frog,개구리,초등,,
1185,from,"(분리,이탈,출발점,기점)-로 부터",초등,,
1186,front,정면,초등,,
1189,fruit,과일,초등,,
1191,fry,기름으로 튀기다,초등,,
1194,full,가득찬,초등,,
1195,fun,즐거운 생각,초등,,
1206,future,미래,초등,,
1212,garden,뜰,초등,,
1214,gate,문,초등,,
1227,gentleman,신사,초등,,
1231,gesture,몸짓,초등,,
1232,get,얻다,초등,,
1233,ghost,유령,초등,,
1234,giant,거인,초등,,
1235,gift,선물,초등,,
1236,giraffe,기린,초등,,
1237,girl,소녀,초등,,
1238,give,주다,초등,,
1239,glad,기쁜,초등,,
1242,glass,유리,초등,,
1246,glove,장갑,초등,,
1248,glue,아교,초등,,
1249,go,가다,초등,,
1250,goal,결승점,초등,,
1252,god,신,초등,,
1253,gold,금,초등,,
1254,good,좋은,초등,,
1255,goodbye,안녕히 가세요,초등,,
1266,grandfather,할아버지,초등,,
1268,grape,포도,초등,,
1271,grass,풀밭,초등,,
1274,great,커다란,초등,,
1276,green,초록색,초등,,
1278,grey,회색의,초등,gray,
1283,ground,땅,초등,,
1284,group,집단,초등,,
1285,grow,성장하다,초등,,
1288,guess,추측(짐작)하다,초등,,
1290,guide,이끌다,초등,,
1295,guy,녀석,초등,,
1297,habit,습관,초등,,
1299,hair,털,초등,,
1304,hand,손,초등,,
1307,handsome,얼굴(자태)이 잘생긴,초등,,
1308,hang,걸다,초등,,
1310,happy,행운의,초등,,
1312,hard,단단한,초등,,
1318,hat,(테있는)모자 모자를 씌우다,초등,,
1319,hate,미워하다,초등,,
1321,have,가지(고 있)다,초등,,
1323,he,(3인칭단수 남성)그,초등,,
1324,head,머리,초등,,
1325,headache,두통,초등,,
1330,heart,심장,초등,,
1331,heat,열,초등,,
1332,heaven,하늘,초등,,
1333,heavy,무거운,초등,,
1337,helicopter,헬리콥터,초등,,
1339,hello,여보,초등,hey,hi
1340,help,돕다,초등,,
1342,here,여기에,초등,,
1344,hero,영웅,초등,,
1347,high,높은,초등,,
1349,hill,"언덕, 낮은 산 인도 고지",초등,,
1352,history,역사,초등,,
1353,hit,명중하다,초등,,
1354,hobby,취미,초등,,
1355,hold,손에 갖고 있다,초등,,
1357,holiday,휴일,초등,,
1359,home,가정,초등,,
1360,homework,숙제,초등,,
1361,honest,정직한,초등,,
1362,honey,벌꿀,초등,,
1365,hope,희망,초등,,
1369,horse,말,초등,,
1370,hospital,병원,초등,,
1374,hot,뜨거운,초등,,
1375,hour,시간,초등,,
1376,house,집,초등,,
1378,how,어떻게,초등,,
1379,however,아무리,초등,,
1382,human,인간의,초등,,
1383,humor,유우머,초등,humour,
1384,hundred,100 100의,초등,,
1385,hungry,배고픈,초등,,
1386,hunt,사냥하다,초등,,
1387,hurry,서두르다,초등,,
1389,husband,남편 절약하다,초등,,
1392,I,"나는, 내가",초등,,
1393,ice,얼음,초등,,
1394,idea,관념,초등,,
1399,if,만일 -이라면,초등,,
1415,important,중요한,초등,,
1419,in,-속에,초등,,
1458,inside,안쪽,초등,,
1490,into,-안으로,초등,,
1492,introduce,안으로 들이다,초등,,
1497,invite,초대하다,초등,,
1504,it,그것은,초등,,
1509,jeans,청바지,초등,,
1511,job,일,초등,,
1513,join,결합하다,초등,,
1518,joy,즐거움,초등,,
1523,just,올바른,초등,,
1527,keep,계속하다,초등,,
1528,key,열쇠,초등,,
1529,kick,걷어차다,초등,,
1530,kid,아이,초등,,
1531,kill,죽이다,초등,,
1532,kind,친절한,초등,,
1533,king,왕,초등,,
1535,kitchen,부엌,초등,,
1537,knife,나이프,초등,,
1541,know,알다,초등,,
1547,lady,귀부인,초등,,
1548,lake,호수,초등,,
1551,land,뭍,초등,,
1556,large,큰,초등,,
1557,last,계속하다,초등,,
1558,late,늦은,초등,,
1568,lazy,게으른,초등,,
1570,leaf,잎,초등,,
1574,learn,배우다,초등,,
1579,left,왼쪽의,초등,,
1580,leg,다리,초등,,
1587,lesson,학과,초등,,
1589,letter,편지,초등,,
1593,library,도서관,초등,,
1596,lie,눕다,초등,,
1598,light,빛,초등,,
1599,like,좋아하다,초등,,
1603,line,선,초등,,
1606,lion,사자,초등,,
1607,lip,입술,초등,,
1610,listen,경청하다,초등,,
1613,little,작은,초등,,
1614,live,살다,초등,,
1615,livingroom,거실,초등,,
1624,long,"(길이,시간 등)긴",초등,,
1625,look,보다,초등,,
1632,love,사랑,초등,,
1633,low,낮은,초등,,
1635,luck,운,초등,,
1637,lunch,점심,초등,,
1640,mad,미친,초등,,
1644,mail,우편물,초등,,
1649,make,만들다,초등,,
1651,man,남자,초등,,
1657,many,많은,초등,,
1658,map,지도,초등,,
1662,marry,결혼하다,초등,,
1669,mathematics,수학,초등,maths,math
1673,may,"5월  청춘, 인생의 봄  산사나무, 아가위나무",초등,,
1681,meat,(식용짐승의)고기,초등,,
1689,meet,-을 만나다,초등,,
1691,memory,기억,초등,,
1704,middle,한복판의,초등,,
1705,might,힘,초등,,
1709,milk,젖,초등,,
1712,mind,마음,초등,,
1721,mirror,거울,초등,,
1722,miss,미혼 여성 실수하다,초등,,
1737,money,금전,초등,,
1739,monkey,원숭이,초등,,
1741,month,월,초등,,
1744,moon,달,초등,,
1747,morning,아침,초등,,
1749,mother,어머니,초등,,
1753,mountain,산,초등,,
1754,mouse,새앙쥐,초등,,
1755,mouth,입,초등,,
1756,move,움직이다,초등,,
1757,movie,영화,초등,,
1758,much,많은,초등,,
1764,museum,박물관,초등,,
1766,music,음악,초등,,
1767,must,-해야 한다,초등,,
1773,name,이름,초등,,
1778,nation,국가,초등,,
1780,nature,자연,초등,,
1782,near,가까이 -의 가까이에 가까운 접근하다,초등,,
1785,neck,목,초등,,
1786,need,필요,초등,,
1799,never,결코 -아니다,초등,,
1801,new,새로운,초등,,
1802,newspaper,신문,초등,,
1803,next,다음의,초등,,
1804,nice,니스(프랑스 남부의 항구도시),초등,,
1805,night,밤,초등,,
1807,no,무의,초등,nope,nay
1816,noon,정오,초등,,
1820,north,"북, 북 쪽, 북부",초등,,
1821,nose,코,초등,,
1822,not,아니다,초등,,
1823,note,기록,초등,,
1824,nothing,아무것도 …없다,초등,,
1828,now,지금,초등,,
1832,number,수,초등,,
1835,nurse,유모,초등,,
1850,ocean,대양,초등,,
1852,of,출신의,초등,,
1853,off,떨어져,초등,,
1856,office,임무,초등,,
1859,often,자주,초등,,
1860,oil,기름,초등,,
1861,old,늙은,초등,,
1863,on,위에,초등,,
1865,one,하나(의),초등,,
1866,only,유일한,초등,,
1867,open,열다,초등,,
1874,or,혹은,초등,,
1889,out,밖으로,초등,,
1895,over,위쪽,초등,,
1911,paint,도료,초등,,
1913,palace,궁전,초등,,
1919,pants,바지,초등,,
1920,paper,종이,초등,,
1924,parent,어버이,초등,,
1925,park,공원,초등,,
1927,part,부분,초등,,
1931,pass,지나가다,초등,,
1946,pay,지불하다,초등,,
1947,peace,평화,초등,,
1949,pear,서양배,초등,,
1954,pencil,연필 연필로 쓰다,초등,,
1955,people,사람들,초등,,
1978,pick,따다,초등,,
1979,picnic,소풍,초등,,
1980,picture,그림,초등,,
1982,pig,돼지,초등,,
1988,pink,연분홍색,초등,,
1992,place,장소,초등,,
1994,plan,계획,초등,,
1999,play,놀다,초등,,
2001,please,기쁘게 하다,초등,,
2006,P.M.,오후,초등,p.m.,
2007,pocket,포켓,초등,,
2010,point,점,초등,,
2014,police,경찰 경비하다,초등,,
2023,poor,"가난한 부족한, 불충분한, 빈약한",초등,,
2040,potato,감자,초등,,
2044,power,힘,초등,,
2063,present,"있는, 존재하는",초등,,
2069,pretty,"예쁜, 귀여운, 참 한, 조촐한",초등,,
2080,prince,"왕자, 태자, 세자, 대군",초등,,
2083,print,"인쇄하다, 프린트하다",초등,,
2089,prize,"상, 포상, 우등상, 선행상",초등,,
2091,problem,문제,초등,,
2132,puppy,강아지,초등,,
2138,push,"밀다, 밀치다, 밀어서 움직 이다, 밀어 내다",초등,,
2139,put,"놓다, 두다",초등,,
2140,puzzle,"당황, 혼란 괴롭히는 사람,  어려운 문제",초등,,
2145,queen,여왕,초등,,
2146,question,"물음, 질문, 질의",초등,,
2148,quick,빠른,초등,,
2149,quiet,조용한,초등,,
2153,rabbit,집토끼,초등,,
2154,race,인종,초등,,
2158,rain,비,초등,,
2159,rainbow,무지개,초등,,
2174,read,읽다,초등,,
2175,ready,준비가 된,초등,,
2193,red,붉은,초등,,
2221,remember,기억하고 있다,초등,,
2251,restaurant,요리점,초등,,
2255,restroom,화장실,초등,,
2262,return,돌아가다,초등,,
2273,rich,부자인,초등,,
2277,right,올바른,초등,,
2278,ring,고리,초등,,
2283,river,강,초등,,
2284,road,길,초등,,
2288,rock,바위,초등,,
2293,roof,지붕,초등,,
2294,room,방,초등,,
2310,run,달리다,초등,,
2316,sad,슬픈,초등,,
2317,safe,안전한,초등,,
2320,sale,판매,초등,,
2322,salt,소금,초등,,
2323,same,같은,초등,,
2324,sand,모래사장,초등,,
2327,save,위험에서 구하다,초등,,
2328,say,말하다,초등,,
2338,school,학교,초등,,
2339,science,과학,초등,,
2340,scissors,가위,초등,,
2343,score,득점,초등,,
2351,sea,바다,초등,,
2354,season,계절,초등,,
2360,see,보다,초등,,
2367,sell,팔다,초등,,
2368,send,보내다,초등,,
2396,she,그녀는,초등,,
2405,ship,배,초등,,
2406,shock,격돌,초등,,
2407,shoe,구두,초등,,
2409,shop,상점,초등,,
2411,short,짧은,초등,,
2412,should,aushall의 과거,초등,,
2415,show,보이다,초등,,
2419,shy,수줍은,초등,,
2420,sick,병난,초등,,
2421,side,쪽,초등,,
2436,sing,노래하다,초등,,
2439,sister,여자형제,초등,,
2440,sit,앉다,초등,,
2443,size,크기,초등,,
2445,skin,피부,초등,,
2447,skirt,스커어트,초등,,
2448,sky,하늘,초등,,
2451,sleep,잠자다,초등,,
2458,slow,느린,초등,,
2459,small,작은 작은 부분 적게,초등,,
2460,smart,재치있는,초등,,
2462,smell,냄새,초등,,
2463,smile,미소짓다 미소,초등,,
2470,snow,눈 눈이 내리다,초등,,
2471,so,그와 같이,초등,,
2474,soccer,축구,초등,,
2478,sock,짧은 양말,초등,,
2479,soft,부드러운,초등,,
2487,some,얼만가의,초등,,
2489,son,아들,초등,,
2490,song,노래,초등,,
2494,sorry,가엾은,초등,,
2497,sound,소리,초등,,
2498,sour,시큼한 시어지다 시큼한 것,초등,,
2500,south,남쪽 남쪽의 남으로,초등,,
2501,space,공간,초등,,
2505,speak,이야기하다,초등,,
2512,speed,속도,초등,,
2524,spoon,숟가락,초등,,
2536,stand,서다,초등,,
2539,start,시작하다,초등,,
2546,stay,머무르다,초등,,
2562,stone,돌,초등,,
2563,stop,멈추다,초등,,
2564,store,가게,초등,,
2566,story,층,초등,,
2573,strawberry,딸기,초등,,
2575,street,거리,초등,,
2576,stress,압박,초등,,
2584,strong,강한,초등,,
2587,student,학생,초등,,
2588,study,학문,초등,,
2600,subway,지하도,초등,,
2607,sugar,설탕,초등,,
2615,sun,태양,초등,,
2620,supper,저녁식사,초등,,
2643,swim,헤엄치다,초등,,
2651,table,테이블,초등,,
2654,tail,꼬리,초등,,
2655,take,잡다,초등,,
2658,talk,말하다,초등,,
2659,tall,키큰,초등,,
2661,tape,테이프,초등,,
2664,taste,맛,초등,,
2668,teach,가르치다,초등,,
2671,teen,슬픔,초등,,
2674,telephone,전화,초등,,
2675,tell,말하다,초등,,
2691,test,시험,초등,,
2694,textbook,교과서,초등,,
2695,than,-보다도,초등,,
2696,thank,감사하다 감사,초등,,
2697,that,저,초등,,
2698,the,art.저,초등,,
2704,there,거기에,초등,,
2706,they,그들,초등,,
2710,thing,물건,초등,,
2711,think,생각하다,초등,,
2712,thirst,갈증,초등,,
2713,this,이,초등,,
2729,tiger,호랑이,초등,,
2733,time,때,초등,,
2740,to,-로,초등,,
2742,today,오늘은,초등,,
2744,together,같이,초등,,
2746,tomorrow,내일(은),초등,,
2749,tonight,오늘밤에 오늘밤,초등,,
2750,too,(-도)또한,초등,,
2752,tooth,이,초등,,
2753,top,정상,초등,,
2757,touch,닿다,초등,,
2759,tour,일주,초등,,
2761,tower,탑,초등,,
2762,town,읍,초등,,
2764,toy,장난감 장난하다,초등,,
2771,train,기차,초등,,
2780,travel,여행하다,초등,,
2785,tree,나무,초등,,
2789,triangle,각형,초등,,
2794,trip,여행,초등,,
2800,true,진실,초등,,
2804,try,시험해보다,초등,,
2808,turn,돌리다,초등,,
2811,twice,두 번,초등,,
2814,type,형,초등,,
2816,ugly,추한,초등,,
2818,umbrella,우산,초등,,
2819,uncle,아저씨,초등,,
2820,under,-아래에,초등,,
2824,understand,이해하다,초등,,
2836,up,위로,초등,,
2845,use,쓰다,초등,,
2860,vegetable,"식물  야채, 푸성귀, 남새, 채소",초등,,
2868,very,매우,초등,,
2884,visit,"방문하다, …의 손님으로 묵다",초등,,
2890,voice,"목소리, 음성, 음성",초등,,
2897,wait,기다리다,초등,,
2898,wake,잠깨다,초등,,
2899,walk,걷다,초등,,
2900,wall,벽,초등,,
2902,want,결핍,초등,,
2903,war,전쟁,초등,,
2905,warm,따뜻한,초등,,
2909,wash,씻다,초등,,
2911,watch,손목시계,초등,,
2912,water,물,초등,,
2913,watermelon,수박,초등,,
2915,way,길,초등,,
2916,we,우리가,초등,,
2920,wear,입다,초등,,
2921,weather,날씨,초등,,
2923,wedding,혼례,초등,,
2925,week,주,초등,,
2926,weekend,주말 주말의 주말을 지내다,초등,,
2928,weight,무게,초등,,
2930,welcome,환영 환영받는,초등,,
2932,well,잘,초등,,
2933,west,서쪽,초등,,
2934,wet,축축한,초등,,
2936,what,무엇 무슨,초등,,
2939,when,언제,초등,,
2940,where,어디에 (-하는)곳에 pr.어디 (문제의)장소,초등,,
2948,white,흰,초등,,
2949,who,누구,초등,,
2951,why,왜,초등,,
2956,wife,아내,초등,,
2958,will,의지,초등,,
2959,win,이기다,초등,,
2960,wind,바람,초등,,
2961,window,창,초등,,
2966,wish,바라다,초등,,
2968,with,함께,초등,,
2973,woman,부인,초등,,
2975,wood,숲,초등,,
2977,word,낱말,초등,,
2978,work,일,초등,,
2979,world,세계,초등,,
2980,worry,근심하다,초등,,
2987,write,쓰다,초등,,
2988,wrong,나쁜,초등,,
2989,year,연,초등,,
2991,yellow,황색의 황색,초등,,
2992,yes,예,초등,yeah,yep
2993,yesterday,어제,초등,,
2996,you,당신,초등,,
2997,young,젊은,초등,,
2998,zebra,얼룩말,초등,,
3000,zoo,동물원,초등,,
